x1,x2,cluster
0.91029,0.016192,1.0
-2.531,6.6981,0.0
4.3602,8.3541,0.0
-0.70489,-0.51343,1.0
-5.7383,-6.2088,1.0
-4.4819,-4.7127,1.0
0.90842,0.38202,0.0
4.4273,5.8406,0.0
-5.5724,3.9576,0.0
4.256,-0.71465,1.0
-1.8763,4.3208,0.0
3.9002,4.9458,0.0
-1.6512,3.1684,0.0
3.4097,-2.8458,1.0
2.7509,-3.7186,1.0
4.0017,-5.6322,1.0
-1.3762,2.2893,0.0
3.1672,-2.0876,1.0
2.5706,7.835,0.0
4.1783,0.46918,0.0
-1.4094,1.6812,0.0
3.3032,-0.23407,1.0
-0.6899,5.6732,0.0
4.4551,0.91978,0.0
0.43072,6.1793,0.0
4.2493,7.8125,0.0
-2.2102,5.1359,0.0
4.5083,6.8181,0.0
-1.5381,4.4656,0.0
3.8053,-0.85611,1.0
-3.6955,7.4957,0.0
4.0747,7.0743,0.0
-3.3814,7.9278,0.0
4.3867,7.1527,0.0
-3.2273,3.9263,0.0
3.5652,3.3784,0.0
0.98228,0.93136,0.0
4.3048,8.7488,0.0
-5.6913,5.3119,0.0
4.3524,6.9648,0.0
-3.3028,6.3978,0.0
4.2079,3.0702,0.0
-2.8765,0.017646,1.0
4.4197,-3.0666,1.0
-4.3528,4.4058,0.0
3.7617,0.18421,0.0
-2.0124,4.599,0.0
3.7219,5.1292,0.0
-4.1637,3.7268,0.0
3.7035,1.1783,0.0
-1.5331,3.3482,0.0
4.4484,1.5236,0.0
-2.8353,3.4889,0.0
4.0611,4.3352,0.0
-2.0325,5.4061,0.0
3.4695,3.0708,0.0
-0.75983,5.7546,0.0
3.8583,7.415,0.0
3.4517,4.4644,0.0
-0.41852,4.9517,0.0
3.7967,-0.57926,1.0
-1.4054,6.8287,0.0
4.723,7.072,0.0
-0.60948,4.9422,0.0
4.6102,-2.7291,1.0
-2.4528,-0.15047,1.0
4.1376,2.5525,0.0
-1.4837,5.8328,0.0
3.9858,4.1307,0.0
0.29761,5.2212,0.0
5.0873,8.1535,0.0
-3.3855,3.6542,0.0
3.8461,7.0261,0.0
-0.19813,5.7081,0.0
3.8222,5.8412,0.0
1.4774,4.7857,0.0
3.7977,2.6556,0.0
-1.8651,1.8011,0.0
4.2754,7.2554,0.0
-0.45499,3.3474,0.0
4.4675,8.8786,0.0
-2.916,3.5733,0.0
4.6984,8.0832,0.0
0.16431,5.1043,0.0
-2.2341,-3.1081,1.0
1.046,0.33435,0.0
-1.9258,-2.9864,1.0
-4.1876,-5.1139,1.0
-2.4265,-3.0797,1.0
2.089,0.96775,0.0
-1.6956,-2.7913,1.0
-4.9665,-5.2581,1.0
-7.6645,-7.6233,1.0
-2.4237,-2.5616,1.0
4.5974,3.6822,0.0
0.41252,0.50543,0.0
-5.5943,-6.0237,1.0
-1.921,-2.7006,1.0
-2.3281,-2.8576,1.0
4.1444,3.1904,0.0
-1.7756,1.634,0.0
3.725,6.6395,0.0
-2.543,6.7817,0.0
4.2798,-0.095909,0.0
-2.105,5.3809,0.0
3.7389,1.6539,0.0
-2.1966,4.015,0.0
4.1613,7.9393,0.0
0.49415,3.5734,0.0
4.145,4.6411,0.0
-3.4003,2.5675,0.0
3.562,1.6797,0.0
-3.1733,1.6388,0.0
4.2408,8.3093,0.0
-4.5667,0.88759,1.0
3.4199,-0.95568,1.0
3.8368,-5.6588,1.0
2.2181,-3.9016,1.0
3.2454,-2.2196,1.0
3.3015,-4.2302,1.0
3.3484,-5.1862,1.0
3.6584,-4.4192,1.0
4.0736,-5.0064,1.0
5.5095,-2.1708,1.0
4.0373,-5.3738,1.0
3.673,-5.6325,1.0
2.6925,-5.2053,1.0
3.5127,-5.2376,1.0
4.1824,-4.0586,1.0
3.9281,-6.0642,1.0
2.1866,-2.3432,1.0
4.5942,-3.6297,1.0
5.1001,-4.2502,1.0
1.6937,-4.654,1.0
3.9808,-2.4098,1.0
3.3,-2.0224,1.0
3.3678,-2.7108,1.0
5.6717,-3.2,1.0
4.8229,-5.2447,1.0
1.9228,3.0054,0.0
4.0438,0.92554,0.0
-4.3256,4.0745,0.0
4.5552,1.2246,0.0
-2.3859,3.3089,0.0
3.784,4.7908,0.0
-0.63884,4.5646,0.0
0.19277,4.2912,0.0
3.81,0.047721,0.0
-1.959,3.8352,0.0
4.1755,1.9932,0.0
-1.1374,4.0567,0.0
3.494,9.8087,0.0
2.023,5.4951,0.0
4.7368,-4.0026,1.0
3.6569,-4.8153,1.0
3.3891,-4.0607,1.0
1.1641,-4.998,1.0
3.6771,-5.1889,1.0
2.0863,-5.1453,1.0
-5.6459,-5.6502,1.0
3.7341,5.3454,0.0
-0.80097,3.7714,0.0
4.0098,5.4786,0.0
-0.15353,3.1355,0.0
4.0991,-2.9498,1.0
3.4908,3.1043,0.0
-1.2162,1.9602,0.0
4.7011,-1.0551,1.0
-1.6408,3.8685,0.0
4.1221,10.164,0.0
-4.2697,3.4162,0.0
2.6435,-0.7217,1.0
-0.33739,4.2341,0.0
4.5352,8.0422,0.0
-4.6471,4.3396,0.0
3.2218,-1.8457,1.0
-3.5667,0.93383,0.0
3.6457,1.9876,0.0
-3.1236,6.1601,0.0
3.4015,0.21089,0.0
-2.2361,1.9304,0.0
3.5774,6.2096,0.0
-2.8059,4.1664,0.0
